cupc,citem,mprice,sku,cuom,istdpk,pos18
"4573029","COKE MISMO 290ML","19.75","457302.00","PC","12","COKE MISMO 290ML"
"4573036","LWR S/N ELBOWSLEEVE E.EGG M","20.00","457303.00","PC","2","LWR SCOOPNECK"
"4575344","SUNSHINESPG1KG+MRS C/SPAG SCE","109.00","457534.00","PC","8","SUNSPAG1KG+VRGINIA"
"4576921","BLOUSECASUAL-APPLWDF-DEX776R S","49.00","457692.00","PC","2","BLSCSL-SHRTSLVRED"
"4576938","BLOUSECASUAL-APPLWDF-DEX776R M","49.00","457693.00","PC","2","BLSCSL-SHRTSLVRED"
"4576945","BLOUSECASUAL-APPLWDF-DEX776R L","49.00","457694.00","PC","2","BLSCSL-SHRTSLVRED"
"4576990","LWR SHRTSLV POLO DEX776 WHT S","10.00","457699.00","PC","2","LWR SHRTSLV PLO"
"4577003","LWR SHRTSLV POLO DEX776 WHT M","10.00","457700.00","PC","2","LWR SHRTSLV PLO"
"4577010","LWR SHRTSLV POLO DEX776 WHT L","10.00","457701.00","PC","2","LWR SHRTSLV PLO"
"4577034","LWR SHRTSLV POLO DEX776 YLW S","10.00","457703.00","PC","2","LWR SHRTSLV PLO"
"4577065","LWR SHRTSLV POLO DEX776 YLW M","49.00","457706.00","PC","2","LWR SHRTSLV PLO"
"4577072","LWR SHRTSLV POLO DEX776 YLW L","49.00","457707.00","PC","2","LWR SHRTSLV PLO"
"4577089","BLOUSECASUAL-APPLWDF-DEX770B S","49.00","457708.00","PC","2","BLS CSL-DEX770B S"
"4577096","BLOUSECASUAL-APPLWDF-DEX770B M","49.00","457709.00","PC","2","BLS CSL-DEX770B M"
"4577102","BLOUSECASUAL-APPLWDF-DEX770B L","10.00","457710.00","PC","2","BLS CSL-DEX770B L"
"4577119","BLOUSECASUAL-APPLWDF-DEX770BXL","49.00","457711.00","PC","2","BLS CSL-DEX770B XL"
"4577676","SLIPPER FLIP-FW GF-TNI-Y8","25.00","457767.00","PR1","30","SLPPR FLP-TNI-Y8"
"4577683","SLIPPER FLIP-FW GF-TNI-Y9","25.00","457768.00","PR1","30","SLPPR FLP-TNI-Y9"
"4578246","BB-839 RN CW BLS BAG PRNT","30.00","457824.00","PC","8","BB-839 RN CW BLS"
"4578291","BB-814 CW DRESS W/ RAFFLES","40.00","457829.00","PC","6","BB-814 CW DRESS W-"
"4578307","BB-809 CW DRESS BEST PARTY","40.00","457830.00","PC","6","BB-809 CW DRESS"
"4578321","TSHIRT-INFT-WEARS-LTM-BB-867","20.00","457832.00","PC","6","TSHIRT-SETW-HAIR"
"4578376","R2-05 RN RIO CW BLS BIRDS OF","20.00","457837.00","PC","8","R2-05 RN RIO CW"
"4578499","DX WASHER TTUB WWH WWTT70X 7KG","7995.00","457849.00","PC","1","WWH T.TUB WWTT70X"
"4578536","MASONMUG-GW-CE-NZ5951E-2PC","15.00","457853.00","SET","18","2PC MASON MUG W-GB"
"4578543","BOWL-GW-CE-CWPH05A-600ML","15.00","457854.00","PC","24","M.OVEN BWL CWPH05A"
"4578550","BOWL-GW-CE-MIC-OVN-CWPH06A-750","124.75","457855.00","PC","24","M.OVEN BWL CWPH06A"
"4578598","105-BOWL-GW-CE-MIC-OVN-CWPH07A","140.00","457859.00","PC","12","M.OVEN BWL CWPH07A"
"4578604","FOODKEEPER-GW-CE-GL-LHB-KL-330","30.00","457860.00","PC","48","FKEEPER LHB-KL-330"
"4578611","FOODKEEPER-GW-CE-GL-LHB-KL-570","169.75","457861.00","PC","36","FKEEPER LHB-KL-570"
"4578628","FOODKEEPER-GW-CE-GL-LHB-KL-840","179.00","457862.00","PC","24","FKEEPER LHB-KL-840"
"4579151","LWR SHRTSLV POLO DEX776 GRAY S","10.00","457915.00","PC","2","LWR SHRTSLV POLO"
"4579236","LWR SHRTSLV POLO DEX776 GRAY M","10.00","457923.00","PC","2","LWR SHRTSLV POLO"
"4579250","LWR SHRTSLV POLO DEX776 GRAY L","10.00","457925.00","PC","2","LWR SHRTSLV POLO"
"4579410","RACKTV-HF-SIT-SIGFRED","500.00","457941.00","PC","1","RT-SIT-SIGFRED"
"4579465","PITCHERSET-GW-MPT-GZ-SQ-/3PC","149.75","457946.00","SET","12","GZ-SQUARE 3PC WSET"
"4579472","TABLECENTER-FU-SIT-SIGFRED","1099.00","457947.00","PC","1","TBLCNTR-SIGFRED"
"4579489","TABLECONSOLE-FU-SIT-SIGFRED","200.00","457948.00","PC","1","TBLCNSL-SIGFRED"
"4583561","KITCHEN SET-TOY-PRETEND-FII-07","149.00","458356.00","PC","6","KITCHEN SET-0705AB"
"4584049","OTHERS-TOYS-FII-6846ATOYSB","109.75","458404.00","PC","12","OTHERS-458404"
"4584162","KITCHEN SET-TOY-FII-888B","135.00","458416.00","PC","6","KITCHEN SET-888B"
"4584254","OTHERS TOYS-FII-5591 TO","5.00","458425.00","PC","6","OTHERS-458425"
"4584278","FORMAL-FW BF-RGI-LUKE3","100.00","458427.00","PC","1","FORMAL-RGI-LUKE3"
"4584292","FORMAL-FW BF-RGI-STUARTBLACK","50.00","458429.00","PC","1","FORMAL-STUARTBLACK"
"4584308","FORMAL-FW BF-RGI-STUARTBLK","100.00","458430.00","PC","1","FORMAL-STUARTBLK"
"4584339","FORMAL-FW BF-RGI-RUSSELBLK1","100.00","458433.00","PC","1","FORMAL-RUSSELBLK1"
"4584575","SLIPPER FLIP-FW MF-LUX-X8","70.00","458457.00","PC","1","SLPPR FLP-LUX-X8"
"4586159","BELT-FS ACCS-LG #319071 B1T1","62.00","731736.00","PC","1","BELT 319071"
"4586234","BELT-FS ACCS-LG-458623-B1T1","71.00","458623.00","PC","1","BELT-B1T1 458623"
"4586968","5+1 RED HORSE 330ML CAN","157.50","458696.00","PC","1","5+1REDHORSE330MLCA"
"4587064","WATERBOTTLE-PW-MPT-W/HNDLE C-G","169.75","458706.00","PC","48","WBTL-W-HNDL C-GREE"
"4588054","JOLLY FF8029-S DOG BAG SMALL","354.75","458805.00","PC","1","JOLLY DOGBAG SMALL"
"4588276","JOLLY JS10 DOG JEANS","199.75","458827.00","PC","1","JOLLY JS10 DGJEANS"
"4588450","5+1 EL DIABLO  BEER 500ML","351.25","458845.00","PC","4","5+1ELDIABLOBEER500"
"4588467","5+1 BALI HAI DRAFT BEER 330ML","181.25","458846.00","PC","4","5+1BALIHAIBEER330M"
"4588672","JOLLY TS-10 DOG T-SHIRT","174.75","458867.00","PC","1","JOLLY TS-10 TSHIRT"
"4588696","JOLLY TS-12 DOG T-SHIRT","174.75","458869.00","PC","1","JOLLY TS-12 TSHIRT"
"4588726","JOLLY TS-8 DOG T-SHIRT","174.75","458872.00","PC","1","JOLLY TS-8 TSHIRT"
"4589495","EMPIRE2 VCD50","50.00","458949.00","PC","1","EMPIRE2 VCD50"
"4589532","EMPIRE2 DVD100","100.00","458953.00","PC","1","EMPIRE2 DVD100"
"4589549","STUDIOWORLD2 VCD50","50.00","458954.00","PC","1","STUDIOWORLD2 VCD50"
"4589587","STUDIOWORLD2 DVD100","100.00","458958.00","PC","1","STUDIOWORLD2"
"4590712","BLOUSECASUAL-APPLWDFDEX770REDS","49.00","459071.00","PC","2","BLSCSL-LSLVE RED S"
"4590729","BLOUSECASUAL-APPLWDFDEX770REDM","49.00","459072.00","PC","2","BLSCSL-LSLVE RED M"
"4590736","BLOUSECASUAL-APPLWDFDEX770REDL","49.00","459073.00","PC","2","BLSCSL-LSLVE RED L"
"4590743","BLOUSECASUAL-APPLWDFDEX770RDXL","49.00","459074.00","PC","2","BLSCSL-LSLV RED XL"
"4590750","BLOUSECASUAL-APPLWDFDEX770W S","49.00","459075.00","PC","2","BLSCSL-LSLVE WHT S"
"4590767","BLOUSECASUAL-APPLWDFDEX770W M","10.00","459076.00","PC","2","BLSCSL-LSLVE WHT M"
"4590774","BLOUSECASUAL-APPLWDFDEX770W L","49.00","459077.00","PC","2","BLSCSL-LSLVE WHT L"
"4590781","BLOUSECASUAL-APPLWDFDEX770W XL","10.00","459078.00","PC","2","BLSCSL-LSLV WHT XL"
"4590798","BLOUSECASUAL-APPLWDFDEX770B S","49.00","459079.00","PC","2","BLSCSL-LSLV BLUE S"
"4590804","BLOUSECASUAL-APPLWDFDEX770B M","49.00","459080.00","PC","2","BLSCSL-LSLV BLUE M"
"4590811","BLOUSECASUAL-APPLWDFDEX770B L","49.00","459081.00","PC","2","BLSCSL-LSLV BLUE L"
"4590828","BLOUSECASUAL-APPLWDFDEX770B XL","49.00","459082.00","PC","2","BLSCSL-LSLVBLUE XL"
"4592327","BACKPACK-B&W-FII-DZLNPRN140716","150.00","459232.00","PC","2","BACKPACKFII-140716"
"4592426","SLIPPER FLIP-FW MF-GCM-J9","89.50","459242.00","PC","1","SLPPR FLP-GCM-J9"
